timestamp,value
2020-05-31 23:00:00,40
2020-06-01 00:30:00,65
2020-06-01 00:00:00,102
2020-06-01 01:30:00,69
2020-06-01 01:00:00,74
2020-06-01 02:30:00,48
2020-06-01 02:00:00,88
2020-06-01 03:30:00,18
2020-06-01 03:00:00,19
2020-06-01 04:30:00,147
2020-06-01 04:00:00,78
2020-06-01 05:30:00,103
2020-06-01 05:00:00,68
2020-06-01 06:30:00,54
2020-06-01 06:00:00,90
2020-06-01 07:30:00,31
2020-06-01 07:00:00,51
2020-06-01 08:30:00,24
2020-06-01 08:00:00,15
2020-06-01 09:30:00,44
2020-06-01 09:00:00,45
2020-06-01 10:30:00,34
2020-06-01 10:00:00,23
2020-06-01 11:30:00,3
2020-06-01 11:00:00,23
2020-06-01 12:30:00,23
2020-06-01 12:00:00,10
2020-06-01 13:30:00,5
2020-06-01 13:00:00,25
2020-06-01 14:30:00,33
2020-06-01 14:00:00,53
2020-06-01 15:30:00,61
2020-06-01 15:00:00,108
2020-06-01 16:30:00,124
2020-06-01 16:00:00,25
2020-06-01 17:30:00,6
2020-06-01 17:00:00,55
2020-06-01 18:30:00,58
2020-06-01 18:00:00,70
2020-06-01 19:30:00,45
2020-06-01 19:00:00,163
2020-06-01 20:30:00,84
2020-06-01 20:00:00,41
2020-06-01 21:30:00,87
2020-06-01 21:00:00,115
2020-06-01 22:30:00,99
2020-06-01 22:00:00,127
2020-06-01 23:30:00,78
2020-06-01 23:00:00,98
2020-06-02 00:30:00,49
2020-06-02 00:00:00,7
2020-06-02 01:30:00,86
2020-06-02 01:00:00,73
2020-06-02 02:30:00,88
2020-06-02 02:00:00,90
2020-06-02 03:30:00,88
2020-06-02 03:00:00,133
2020-06-02 04:30:00,80
2020-06-02 04:00:00,34
2020-06-02 05:30:00,95
2020-06-02 05:00:00,50
2020-06-02 06:30:00,15
2020-06-02 06:00:00,31
2020-06-02 07:30:00,33
2020-06-02 08:00:00,59
2020-06-02 09:30:00,33
2020-06-02 09:00:00,35
